기관명,시설유형,소재지도로명주소,위도,경도,전화번호,팩스번호,설치일자,설치주체,데이터기준일자
서변실버요양원,노인요양공동생활가정,"대구광역시 북구 호국로 207, 6층 (서변동)",35.92031111,128.5989792,053-951-8898,053-951-8897,2016-06-01,개인,2025-01-24
성림효사랑실버타운,노인요양시설,대구광역시 북구 신천동로 740 (대현동),35.88562849,128.6025607,053-958-8884,053-957-8884,2013-08-05,개인,2025-01-24
성북공동생활가정,노인요양공동생활가정,대구광역시 북구 연암로 88-7 (산격동),35.89281354,128.5950387,053-262-5690,053-262-5691,2020-06-01,개인,2025-01-24
스마일요양원,노인요양시설,"대구광역시 북구 칠곡중앙대로 450, 305호,405호 (읍내동)",35.93590701,128.549446,053-325-9988,053-325-9980,2019-10-01,개인,2025-01-24
신세계실버타운,노인요양시설,대구광역시 북구 주좌길 26-17 (학정동),35.95013688,128.5691428,053-312-1003,053-312-1012,2019-01-25,개인,2025-01-24
신한솔요양원,노인요양공동생활가정,"대구광역시 북구 호암로 4, 5층 (칠성동2가)",35.88300089,128.590845,053-341-8033,0504-243-4139,2024-12-01,개인,2025-01-24
신한솔요양원2,노인요양공동생활가정,"대구광역시 북구 호암로 4, 4층 (칠성동2가)",35.88300089,128.590845,053-341-8034,053-341-8036,2019-04-01,개인,2025-01-24
실로암요양원,노인요양시설,대구광역시 북구 환성정길 31-16 (서변동),35.5526,128.3534,053-953-8889,053-243-7889,2023-11-01,법인,2025-01-24
언제나봄요양원,노인요양시설,대구광역시 북구 태전로13길 10-33 (태전동),35.92559654,128.5408357,053-323-2127,053-313-4578,2022-12-01,개인,2025-01-24
엘림실버요양원,노인요양공동생활가정,대구광역시 북구 호국로 229 (서변동),35.9223568,128.599039,053-942-1119,053-944-1117,2011-12-20,개인,2025-01-24
연세숲속요양원,노인요양시설,대구광역시 북구 장태실길 13 (팔달동),35.89627423,128.5359228,053-716-7888,053-716-7889,2018-04-02,개인,2025-01-24
원대주간보호센터2,노인요양공동생활가정,"대구광역시 북구 팔달로 191, 3층 (노원동2가, 원타워)",35.88862191,128.5710604,053-255-9988,053-354-9987,2019-09-01,법인,2025-01-24
일심노인복지센터,노인요양시설,대구광역시 북구 대천로 49-8 (읍내동),35.93788385,128.5546688,053-313-5300,053-313-5301,2015-10-22,개인,2025-01-24
장원요양원,노인요양시설,"대구광역시 북구 복현로20길 12-10, 1층 (복현동)",35.90037132,128.622491,053-982-4470,053-381-0691,2020-04-23,개인,2025-01-24
장원요양원2,노인요양시설,"대구광역시 북구 복현로20길 12-10, 2,3층(복현동)",35.90037132,128.622491,053-982-4470,053-381-0691,2020-04-23,개인,2025-01-24
정향실버빌,노인요양시설,대구광역시 북구 학정로42길 40 (구암동),35.92679,128.55895,053-263-1800,053-263-1802,2024-05-01,개인,2025-01-24
주식회사 새소망노인복지센터,노인요양공동생활가정,"대구광역시 북구 동북로 263, 5층 (복현동)",35.89436535,128.6196303,053-941-4470,053-944-4470,2019-12-06,법인,2025-01-24
주식회사 예가노인복지센터,노인요양공동생활가정,"대구광역시 북구 칠곡중앙대로 217, 2층 (태전동)",35.91550733,128.5481079,053-311-1817,053-311-1819,2020-03-01,법인,2025-01-24
주식회사 예가복지센터,노인요양공동생활가정,대구광역시 북구 칠곡중앙대로 217 (태전동),35.91550733,128.5481079,053-321-5804,053-311-5810,2020-03-01,법인,2025-01-24
천유원실버타운,노인요양시설,대구광역시 북구 칠성남로36길 6 (칠성동2가),35.87648128,128.5987259,053-718-1500,053-718-1515,2017-07-20,개인,2025-01-24
침산탑요양원,노인요양시설,대구광역시 북구 오봉로6길 7 (노원동1가),35.5324,128.344,053-356-9990,053-716-7351,2023-10-01,개인,2025-01-24
파티마홈,노인요양시설,대구광역시 북구 내곡로 123 (사수동),35.90098213,128.5167786,053-324-1188,053-324-1185,2015-04-28,법인,2025-01-24
하나복지센터,노인요양공동생활가정,"대구광역시 북구 호국로 223, 2층 (서변동)",35.921753,128.5990234,053-325-6311,053-325-6399,2017-06-01,개인,2025-01-24
한아름노인복지센터,노인요양공동생활가정,대구광역시 북구 검단로49길 21-14 (검단동),35.9149755,128.6271262,053-384-4874,053-382-4874,2021-09-01,개인,2025-01-24
해뜨는요양원1,노인요양공동생활가정,대구광역시 북구 공항로 10-7 (복현동),35.5349,128.37,053-958-5400,053-939-2628,2014-12-31,개인,2025-01-24
해뜨는요양원2,노인요양공동생활가정,대구광역시 북구 공항로 10-7 (복현동),35.5349,128.37,053-958-5400,053-939-2628,2014-12-31,개인,2025-01-24
행복요양원,노인요양시설,"대구광역시 북구 팔달로 191, 5층 (노원동2가)",35.88862191,128.5710604,053-355-7232,053-951-5901,2016-12-20,개인,2025-01-24
행복한백세요양원,노인요양시설,대구광역시 북구 호암로 30 (칠성동2가),35.88236389,128.5938971,053-353-0688,053-355-0689,2012-08-06,개인,2025-01-24
호산실버타운,노인요양시설,대구광역시 북구 관음동로9길 22 (관음동),35.93759596,128.5447363,053-322-0100,053-322-0188,2013-05-15,개인,2025-01-24
효성실버타운,노인요양시설,대구광역시 북구 도남길 92-52 (도남동),35.96049647,128.5852369,053-327-0003,053-327-0224,2009-08-12,법인,2025-01-24
효신노인복지센터,노인요양공동생활가정,"대구광역시 북구 호국로51길 5, 3층 (서변동)",35.92433265,128.598644,053-939-4567,053-939-4568,2014-10-01,개인,2025-01-24
효심노인요양센터,노인요양공동생활가정,대구광역시 북구 공평로 158 (칠성동1가),35.87807949,128.6017503,053-353-9592,053-356-1220,2010-12-02,개인,2025-01-24
희연실버타운,노인요양시설,대구광역시 북구 산격로 17 (산격동),35.89215097,128.6049585,053-359-0001,053-358-0005,2020-03-01,개인,2025-01-24
