기관명,시설유형,소재지도로명주소,위도,경도,전화번호,팩스번호,설치일자,설치주체,데이터기준일자,노인복지관명,개관일자,위탁기관,시설현황,주요사업,홈페이지주소,관리기관명,관리부서명,버스_접근성(m),지하철_접근성(m),의료_접근성(m),중심성,최종점수,geometry
부모사랑요양원,노인요양공동생활가정,대구광역시 북구 칠곡중앙대로91길 28 (관음동),35.93676168,128.54585,053-326-6349,053-326-6009,2011-02-07,개인,2025-01-24,,,,,,,,,0.02146712580477389,0.0266418562243209,0.004801222690076127,0.01745507564475332,0.9824086799090189,POINT (128.54585 35.93676168)
사랑모아실버타운,노인요양시설,"대구광역시 북구 도남중앙로9길 1, 3~4층 (국우동)",35.98291,128.58338,053-324-9988,053-325-8055,2019-04-01,개인,2025-01-24,,,,,,,,,0.15148507316889892,0.10367037934352566,0.0710417306802415,0.1152467965817568,0.8896390050563943,POINT (128.58338 35.98291)
사랑요양복지센터,노인요양공동생활가정,"대구광역시 북구 침산남로 176, 4층 (침산동)",35.88737126,128.5946988,053-351-0361,053-352-0362,2021-12-01,개인,2025-01-24,,,,,,,,,0.009550272991761675,0.035232366620249415,5.880350660682393e-06,0.015537275108804732,0.9849185512321309,POINT (128.5946988 35.88737126)
상록수재활복지센터1,노인요양공동생활가정,대구광역시 북구 동천로 125-16 (동천동),35.9432801,128.5591069,053-324-2522,053-264-0053,2012-07-01,개인,2025-01-24,,,,,,,,,0.005381869365485485,6.952163382677613e-05,3.4356091791770664e-06,0.01769375817964952,0.9942128538029648,POINT (128.5591069 35.9432801)
새볕실버빌,노인요양시설,대구광역시 북구 영송로 36-6 (태전동),35.92832558,128.5458029,053-314-0800,053-314-0810,2010-12-28,법인,2025-01-24,,,,,,,,,0.012471177774351956,0.012723468605655397,0.0024780507051925327,0.010994517692360095,0.99033319630561,POINT (128.5458029 35.92832558)
새봄더케어실버타운,노인요양공동생활가정,"대구광역시 북구 호국로 215, 403호 (서변동, 대성골든프라자2차)",35.92086173,128.5988172,053-952-5535,053-951-1230,2020-06-01,개인,2025-01-24,,,,,,,,,0.006777744438883007,0.12594207520889458,4.951024930079333e-06,0.00861027157640859,0.9646662394377209,POINT (128.5988172 35.92086173)
서변실버요양원,노인요양공동생활가정,"대구광역시 북구 호국로 207, 6층 (서변동)",35.92031111,128.5989792,053-951-8898,053-951-8897,2016-06-01,개인,2025-01-24,,,,,,,,,0.008944722431311137,0.12694261513538074,0.0003894011760762172,0.00851956922639277,0.9638009230077098,POINT (128.5989792 35.92031111)
성림효사랑실버타운,노인요양시설,대구광역시 북구 신천동로 740 (대현동),35.88562849,128.6025607,053-958-8884,053-957-8884,2013-08-05,개인,2025-01-24,,,,,,,,,0.002259625586384138,0.029070992925085762,0.0021171878940043584,0.023957243753494145,0.9856487374602579,POINT (128.6025607 35.88562849)
성북공동생활가정,노인요양공동생활가정,대구광역시 북구 연암로 88-7 (산격동),35.89281354,128.5950387,053-262-5690,053-262-5691,2020-06-01,개인,2025-01-24,,,,,,,,,0.0026478739821175347,0.045198208799375555,0.0022971853976472396,0.009926766072498816,0.9849824914370902,POINT (128.5950387 35.89281354)
스마일요양원,노인요양시설,"대구광역시 북구 칠곡중앙대로 450, 305호,405호 (읍내동)",35.93590701,128.549446,053-325-9988,053-325-9980,2019-10-01,개인,2025-01-24,,,,,,,,,0.0025636681631142177,0.017222888524199287,3.460425489417138e-06,0.012638782444801433,0.9918928001105989,POINT (128.549446 35.93590701)
신세계실버타운,노인요양시설,대구광역시 북구 주좌길 26-17 (학정동),35.95013688,128.5691428,053-312-1003,053-312-1012,2019-01-25,개인,2025-01-24,,,,,,,,,0.012509438735812695,0.02497808864214869,0.006284092576119708,0.03132783502036324,0.981225136256389,POINT (128.5691428 35.95013688)
신한솔요양원,노인요양공동생활가정,"대구광역시 북구 호암로 4, 5층 (칠성동2가)",35.88300089,128.590845,053-341-8033,0504-243-4139,2024-12-01,개인,2025-01-24,,,,,,,,,0.014509689407365346,0.022867808046950093,0.0026047863172074448,0.020182160482469624,0.9849588889365019,POINT (128.590845 35.88300089)
신한솔요양원2,노인요양공동생활가정,"대구광역시 북구 호암로 4, 4층 (칠성동2가)",35.88300089,128.590845,053-341-8034,053-341-8036,2019-04-01,개인,2025-01-24,,,,,,,,,0.014509689407365346,0.022867808046950093,0.0026047863172074448,0.020182160482469624,0.9849588889365019,POINT (128.590845 35.88300089)
실로암요양원,노인요양시설,대구광역시 북구 환성정길 31-16 (서변동),35.5526,128.3534,053-953-8889,053-243-7889,2023-11-01,법인,2025-01-24,,,,,,,,,0.770431895981916,0.9256405432948684,0.9444631248224065,0.9421702182849674,0.10432355440396046,POINT (128.3534 35.5526)
언제나봄요양원,노인요양시설,대구광역시 북구 태전로13길 10-33 (태전동),35.92559654,128.5408357,053-323-2127,053-313-4578,2022-12-01,개인,2025-01-24,,,,,,,,,0.01689471093904195,0.023241259875286788,0.007803629693511326,0.016582032117327006,0.9838695918437083,POINT (128.5408357 35.92559654)
엘림실버요양원,노인요양공동생활가정,대구광역시 북구 호국로 229 (서변동),35.9223568,128.599039,053-942-1119,053-944-1117,2011-12-20,개인,2025-01-24,,,,,,,,,0.000931994953272616,0.1251232589409853,0.0011681429716418853,0.009717392727494667,0.9657648026016514,POINT (128.599039 35.9223568)
연세숲속요양원,노인요양시설,대구광역시 북구 장태실길 13 (팔달동),35.89627423,128.5359228,053-716-7888,053-716-7889,2018-04-02,개인,2025-01-24,,,,,,,,,0.011184790416838267,0.02863626653196248,0.0286368945513355,0.03647393828943843,0.9737670275526064,POINT (128.5359228 35.89627423)
원대주간보호센터2,노인요양공동생활가정,"대구광역시 북구 팔달로 191, 3층 (노원동2가, 원타워)",35.88862191,128.5710604,053-255-9988,053-354-9987,2019-09-01,법인,2025-01-24,,,,,,,,,0.005127233050815933,0.0059360197012224645,4.880235483746595e-06,0.014008644741028448,0.9937308055678623,POINT (128.5710604 35.88862191)
일심노인복지센터,노인요양시설,대구광역시 북구 대천로 49-8 (읍내동),35.93788385,128.5546688,053-313-5300,053-313-5301,2015-10-22,개인,2025-01-24,,,,,,,,,0.004948438570756445,0.0021519688448005878,0.005970060631523869,0.01143764367968586,0.9938729720683083,POINT (128.5546688 35.93788385)
장원요양원,노인요양시설,"대구광역시 북구 복현로20길 12-10, 1층 (복현동)",35.90037132,128.622491,053-982-4470,053-381-0691,2020-04-23,개인,2025-01-24,,,,,,,,,0.01658735641239649,0.05770788619053655,0.002370492934843625,0.03731714414430207,0.9715042800794803,POINT (128.622491 35.90037132)
장원요양원2,노인요양시설,"대구광역시 북구 복현로20길 12-10, 2,3층(복현동)",35.90037132,128.622491,053-982-4470,053-381-0691,2020-04-23,개인,2025-01-24,,,,,,,,,0.01658735641239649,0.05770788619053655,0.002370492934843625,0.03731714414430207,0.9715042800794803,POINT (128.622491 35.90037132)
정향실버빌,노인요양시설,대구광역시 북구 학정로42길 40 (구암동),35.92679,128.55895,053-263-1800,053-263-1802,2024-05-01,개인,2025-01-24,,,,,,,,,0.006496242141246864,0.018107628457851292,0.004779540019974394,0.0004914247787371762,0.9925312911505476,POINT (128.55895 35.92679)
주식회사 새소망노인복지센터,노인요양공동생활가정,"대구광역시 북구 동북로 263, 5층 (복현동)",35.89436535,128.6196303,053-941-4470,053-944-4470,2019-12-06,법인,2025-01-24,,,,,,,,,0.004060785183501043,0.04562308200139962,0.0003429516857237784,0.036123287914172464,0.9784624733038008,POINT (128.6196303 35.89436535)
주식회사 예가노인복지센터,노인요양공동생활가정,"대구광역시 북구 칠곡중앙대로 217, 2층 (태전동)",35.91550733,128.5481079,053-311-1817,053-311-1819,2020-03-01,법인,2025-01-24,,,,,,,,,0.00029085549751136025,0.010465364938773212,0.0,0.007683927268703372,0.995389963073753,POINT (128.5481079 35.91550733)
주식회사 예가복지센터,노인요양공동생활가정,대구광역시 북구 칠곡중앙대로 217 (태전동),35.91550733,128.5481079,053-321-5804,053-311-5810,2020-03-01,법인,2025-01-24,,,,,,,,,0.00029085549751136025,0.010465364938773212,0.0,0.007683927268703372,0.995389963073753,POINT (128.5481079 35.91550733)
천유원실버타운,노인요양시설,대구광역시 북구 칠성남로36길 6 (칠성동2가),35.87648128,128.5987259,053-718-1500,053-718-1515,2017-07-20,개인,2025-01-24,,,,,,,,,0.004182206355756531,0.0,0.0018083221550850787,0.03646674848889195,0.9893856807500666,POINT (128.5987259 35.87648128)
침산탑요양원,노인요양시설,대구광역시 북구 오봉로6길 7 (노원동1가),35.5324,128.344,053-356-9990,053-716-7351,2023-10-01,개인,2025-01-24,,,,,,,,,1.0000000000000002,1.0,1.0,0.9999999999999998,0.0,POINT (128.344 35.5324)
파티마홈,노인요양시설,대구광역시 북구 내곡로 123 (사수동),35.90098213,128.5167786,053-324-1188,053-324-1185,2015-04-28,법인,2025-01-24,,,,,,,,,0.02109001662222032,0.0782798570513337,0.013125889171762996,0.062078555531503266,0.9563564204057949,POINT (128.5167786 35.90098213)
하나복지센터,노인요양공동생활가정,"대구광역시 북구 호국로 223, 2층 (서변동)",35.921753,128.5990234,053-325-6311,053-325-6399,2017-06-01,개인,2025-01-24,,,,,,,,,0.0009411099379640292,0.12562816177307057,0.00038102015603572084,0.009293954716388941,0.9659389383541351,POINT (128.5990234 35.921753)
한아름노인복지센터,노인요양공동생활가정,대구광역시 북구 검단로49길 21-14 (검단동),35.9149755,128.6271262,053-384-4874,053-382-4874,2021-09-01,개인,2025-01-24,,,,,,,,,0.016209685341867303,0.09881573826991805,0.0040840115548529,0.046722243216872045,0.9585420804041225,POINT (128.6271262 35.9149755)
해뜨는요양원1,노인요양공동생활가정,대구광역시 북구 공항로 10-7 (복현동),35.5349,128.37,053-958-5400,053-939-2628,2014-12-31,개인,2025-01-24,,,,,,,,,0.9016925943713241,0.9646761743178676,0.9758708071699634,0.968732557791149,0.047256966587423954,POINT (128.37 35.5349)
해뜨는요양원2,노인요양공동생활가정,대구광역시 북구 공항로 10-7 (복현동),35.5349,128.37,053-958-5400,053-939-2628,2014-12-31,개인,2025-01-24,,,,,,,,,0.9016925943713241,0.9646761743178676,0.9758708071699634,0.968732557791149,0.047256966587423954,POINT (128.37 35.5349)
행복요양원,노인요양시설,"대구광역시 북구 팔달로 191, 5층 (노원동2가)",35.88862191,128.5710604,053-355-7232,053-951-5901,2016-12-20,개인,2025-01-24,,,,,,,,,0.005127233050815933,0.0059360197012224645,4.880235483746595e-06,0.014008644741028448,0.9937308055678623,POINT (128.5710604 35.88862191)
행복한백세요양원,노인요양시설,대구광역시 북구 호암로 30 (칠성동2가),35.88236389,128.5938971,053-353-0688,053-355-0689,2012-08-06,개인,2025-01-24,,,,,,,,,0.007945256924363535,0.01936634137794821,8.276161103841995e-05,0.022563279115308393,0.9875105902428354,POINT (128.5938971 35.88236389)
호산실버타운,노인요양시설,대구광역시 북구 관음동로9길 22 (관음동),35.93759596,128.5447363,053-322-0100,053-322-0188,2013-05-15,개인,2025-01-24,,,,,,,,,0.009786731840930533,0.02965936433574899,0.0016454757670630277,0.019970916918611498,0.9847343777844115,POINT (128.5447363 35.93759596)
효성실버타운,노인요양시설,대구광역시 북구 도남길 92-52 (도남동),35.96049647,128.5852369,053-327-0003,053-327-0224,2009-08-12,법인,2025-01-24,,,,,,,,,0.012581785318549928,0.06787552906310892,0.02177459364379635,0.06018086596146083,0.959396806503271,POINT (128.5852369 35.96049647)
효신노인복지센터,노인요양공동생활가정,"대구광역시 북구 호국로51길 5, 3층 (서변동)",35.92433265,128.598644,053-939-4567,053-939-4568,2014-10-01,개인,2025-01-24,,,,,,,,,0.010358712776579715,0.12247758998299411,0.004402547441227089,0.010994296928043878,0.9629417132177888,POINT (128.598644 35.92433265)
효심노인요양센터,노인요양공동생활가정,대구광역시 북구 공평로 158 (칠성동1가),35.87807949,128.6017503,053-353-9592,053-356-1220,2010-12-02,개인,2025-01-24,,,,,,,,,0.0,0.00594777120079271,0.002886996615233713,0.035679001403951555,0.9888715576950055,POINT (128.6017503 35.87807949)
희연실버타운,노인요양시설,대구광역시 북구 산격로 17 (산격동),35.89215097,128.6049585,053-359-0001,053-358-0005,2020-03-01,개인,2025-01-24,,,,,,,,,0.0006011693655623468,0.05127324747286624,0.0013708162448173515,0.01900492166769907,0.9819374613122638,POINT (128.6049585 35.89215097)
,,대구광역시 북구 칠곡중앙대로91길 21 (관음동),35.93624,128.54671,053-313-6644,053-313-6645,,,2025-01-26,강북노인복지관,2000-12-01,사)상록수재단,강당+당구장+탁구장+노래방+서예실+컴퓨터실+식당,평생교육+건강증진+급식지원+독거노인지원+이미용서비스 등,www.kbsilver.or.kr,대구광역시 북구청,복지정책과,0.01658837051618814,0.024109429972271695,0.004169974973869466,0.01580299756449982,0.9848323067432927,POINT (128.54671 35.93624)
,,대구광역시 북구 동암로 180 (구암동),35.94289,128.57034,053-326-3394,053-665-4299,,,2025-01-26,함지노인복지관,2011-04-27,사)효성복지재단,강당+당구장+탁구장+노래방+서예실+컴퓨터실+바둑장기교실+식당,평생교육+건강증진+고용지원+정서생활지원+자립지원+사회참여지원 등,www.withhamji.or.kr,대구광역시 북구청,복지정책과,0.0008192658624951838,0.030350221061551212,0.004759106792646107,0.01763986480693927,0.986607885369092,POINT (128.57034 35.94289)
,,대구광역시 북구 검단로 8-14 (복현동),35.89869,128.61689,053-381-8310,053-381-8316,,,2025-01-26,대불노인복지관,2003-09-26,사)가정복지회,다목적실+탁구장+노래방+서예실+당구장+컴퓨터실+물리치료실+식당,평생교육+건강증진+정서생활지원+독거노인자립지원+사회참여지원+소득지원 등,www.dbsenior.or.kr,대구광역시 북구청,복지정책과,0.009656531926293637,0.06168959979611121,0.0010541356182111798,0.029325570930215955,0.974568540432292,POINT (128.61689 35.89869)
,,대구광역시 북구 성북로 49 (침산동),35.89188,128.5889,053-353-9633,053-353-9634,,,2025-01-26,북구노인복지관,1998-03-11,사)전석복지재단,강당+노래방+탁구장+컴퓨터실+서예실+게이트볼장+식당,평생교육+건강증진+정서생활지원+독거노인자립지원+사회참여지원+소득지원 등,www.bknobok.or.kr,대구광역시 북구청,복지정책과,0.007562880586253186,0.030926266622953003,4.626385293252897e-06,0.008070802136762367,0.9883588560671845,POINT (128.5889 35.89188)
